questionnaire,item,value,agreement,question
NFCC1993,I find that establishing a consistent routine enables me to enjoy life more.,Preference for Order and Structure,1,Will establishing a consistent routine enable me to enjoy life more?
NFCC1993,I like to have a place for everything and everything in its place.,Preference for Order and Structure,1,Should I like to have a place for everything and everything in its place?
NFCC1993,I don't like to be with people who are capable of unexpected actions.,Preference for Order and Structure,1,Should I avoid being with people who are capable of unexpected actions?
NFCC1993,I hate to change my plans at the last minute.,Preference for Order and Structure,1,Should I hate to change my plans at the last minute?
NFCC2000,I enjoy having a clear structured mode of life.,Preference for Order and Structure,1,Should I enjoy having a clear structured mode of life?
NFCC1993,I think that having clear rules and order at work is essential for success.,Preference for Order and Structure,1,Should I think that having clear rules and order at work is essential for success?
NFCC1993,I find that a well ordered life with regular hours suits my tempera_x0002_ment.,Preference for Order and Structure,1,Would a well-ordered life with regular hours suit my temperament?
NFCC1993,My personal space is usually messy and disorganized.,Preference for Order and Structure,-1,Should my personal space usually be messy and disorganized?
NFCC1993,I enjoy having a clear and structured mode of life.,Preference for Order and Structure,1,Should I enjoy having a clear and structured mode of life?
NFCC2000,I enjoy the uncertainty of going into a situation without knowing what might happen.,Preference for Predictability,-1,Should I enjoy the uncertainty of going into a situation without knowing what might happen?
NFCC1993,I don't like to go into a situation without knowing what I can expect from it.,Preference for Predictability,1,Should I dislike going into a situation without knowing what to expect from it?
NFCC1993,I prefer to socialize with familiar friends because I know what to expect from them.,Preference for Predictability,1,Should I prefer to socialize with familiar friends because I know what to expect from them?
NFCC2000,I dislike unpredictable situations.,Preference for Predictability,1,Should I dislike unpredictable situations?
NFCC1993,I think it is fun to change my plans at the last moment.,Preference for Predictability,-1,Should I think it is fun to change my plans at the last moment?
NFCC1993,I like to have friends who are unpredictable.,Preference for Predictability,-1,Should I like to have friends who are unpredictable?
NFCC2000,I don't like to be with people who are capable of unexpected actions.,Preference for Predictability,1,Should I dislike being with people who are capable of unexpected actions?
NFCC1993,I dislike unpredictable situations.,Preference for Predictability,1,Should I dislike unpredictable situations?
NFCC1993,I don't like situations that are uncertain.,Preference for Predictability,1,Should I not like situations that are uncertain?
NFCC2000,I usually make important decisions quickly and confidently.,Decisiveness,1,Should I usually make important decisions quickly and confidently?
NFCC1993,I tend to put off making important decisions until the last possible moment.,Decisiveness,-1,Should I put off making important decisions until the last possible moment?
NFCC1993,I usually make important decisions quickly and confidently.,Decisiveness,1,Should I usually make important decisions quickly and confidently?
NFCC1993,When faced with a problem I usually see the one best solution very quickly.,Decisiveness,1,Should I usually see the one best solution very quickly when faced with a problem?
NFCC1993,I tend to struggle with most decisions.,Decisiveness,-1,Should I struggle with most decisions?
