questionnaire,item,value,agreement,question
NFCC2000,I find that establishing a consistent routine enables me to enjoy my life.,Preference for Order and Structure,1,Will establishing a consistent routine enable me to enjoy my life?
NFCC2000,Embracing spontaneity helps me appreciate life more.,Preference for Order and Structure,-1,Will embracing spontaneity help me appreciate life more?
NFCC2000,I enjoy having a clear structured mode of life.,Preference for Order and Structure,1,Should I enjoy having a clear structured mode of life?
NFCC2000,I prefer a spontaneous and flexible way of living.,Preference for Order and Structure,-1,Should I prefer a spontaneous and flexible way of living?
NFCC2000,I like to have a place for everything and everything in its place.,Preference for Order and Structure,1,Should I like to have a place for everything and everything in its place?
NFCC2000,I don't mind if things are out of place and disorganized.,Preference for Order and Structure,-1,Should I not mind if things are out of place and disorganized?
NFCC2000,I find that a well ordered life with regular hours suits my temperament.,Preference for Order and Structure,1,Would a well-ordered life with regular hours suit my temperament?
NFCC2000,I am much more comfortable with a spontaneous lifestyle and irregular hours.,Preference for Order and Structure,-1,Would a spontaneous lifestyle and irregular hours suit my temperament?
NFCC1993,I think that having clear rules and order at work is essential for success.,Preference for Order and Structure,1,Should I think that having clear rules and order at work is essential for success?
NFCC1993,I believe that flexibility and spontaneity at work lead to success.,Preference for Order and Structure,-1,Should I believe that flexibility and spontaneity at work lead to success?
NFCC1993,I find that a well ordered life with regular hours suits my tempera_x0002_ment.,Preference for Order and Structure,1,Would a well-ordered life with regular hours suit my temperament?
NFCC1993,I feel that a chaotic and unpredictable life matches my temperament.,Preference for Order and Structure,-1,Would a chaotic and unpredictable life match my temperament?
NFCC1993,I hate to change my plans at the last minute.,Preference for Order and Structure,1,Should I hate to change my plans at the last minute?
NFCC1993,I love being spontaneous with my plans.,Preference for Order and Structure,-1,Do I love being spontaneous with my plans?
NFCC1993,My personal space is usually messy and disorganized.,Preference for Order and Structure,-1,Should my personal space usually be messy and disorganized?
NFCC1993,My personal space is typically neat and organized.,Preference for Order and Structure,1,Should my personal space usually be neat and organized?
NFCC1993,I don't like to be with people who are capable of unexpected actions.,Preference for Order and Structure,1,Should I avoid being with people who are capable of unexpected actions?
NFCC1993,I enjoy being with people who surprise me.,Preference for Order and Structure,-1,Should I look for people who can surprise me?
NFCC1993,I think that I would learn best in a class that lacks clearly stated objectives and requirements.,Preference for Order and Structure,-1,Would I learn best in a class that lacks clearly stated objectives and requirements?
