questionnaire,item,value,agreement,question
NFCC2000,Embracing spontaneity helps me appreciate life more.,Preference for Order and Structure,-1,Will embracing spontaneity help me appreciate life more?
NFCC2000,I prefer a spontaneous and flexible way of living.,Preference for Order and Structure,-1,Should I prefer a spontaneous and flexible way of living?
NFCC2000,I am much more comfortable with a spontaneous lifestyle and irregular hours.,Preference for Order and Structure,-1,Would a spontaneous lifestyle and irregular hours suit my temperament?
NFCC1993,I believe that flexibility and spontaneity at work lead to success.,Preference for Order and Structure,-1,Should I believe that flexibility and spontaneity at work lead to success?
NFCC1993,I feel that a chaotic and unpredictable life matches my temperament.,Preference for Order and Structure,-1,Would a chaotic and unpredictable life match my temperament?
NFCC1993,I love being spontaneous with my plans.,Preference for Order and Structure,-1,Do I love being spontaneous with my plans?
NFCC1993,My personal space is typically neat and organized.,Preference for Order and Structure,1,Should my personal space usually be neat and organized?
NFCC1993,I enjoy being with people who surprise me.,Preference for Order and Structure,-1,Should I look for people who can surprise me?
NFCC1993,I believe I would thrive in a class that has well-defined objectives and clear requirements.,Preference for Order and Structure,1,Would I thrive in a class that has well-defined objectives and clear requirements?
NFCC1993,I feel that a lack of routine makes life more enjoyable.,Preference for Order and Structure,-1,Will a lack of routine make life more enjoyable for me?
NFCC1993,I prefer a spontaneous and unplanned lifestyle.,Preference for Order and Structure,-1,Should I prefer a spontaneous and unplanned lifestyle?
NFCC1993,I prefer a more spontaneous and unstructured environment.,Preference for Order and Structure,-1,Should I prefer a more spontaneous and unstructured environment?
NFCC1993,I enjoy the routine aspects of my work (studies).,Preference for Order and Structure,1,Should I enjoy the routine aspects of my work (studies)?
EACS,I tend to ignore figuring out what I'm really feeling.,Emotional Processing,-1,Do I tend to ignore figuring out what I'm really feeling?
EACS,I avoid examining my emotions to prevent getting too involved.,Emotional Processing,-1,Should I avoid examining my emotions to prevent getting too involved?
EACS,I think my emotions are insignificant and trivial.,Emotional Processing,-1,Should I think my emotions are insignificant and trivial?
EACS,I ignore my emotions.,Emotional Processing,-1,Should I ignore my emotions?
EACS,I keep my feelings to myself.,Emotional Expression,-1,Should I keep my feelings to myself?
EACS,I rarely convey my feelings.,Emotional Expression,-1,Should I rarely convey my feelings?
EACS,I restrict myself from showing my emotions.,Emotional Expression,-1,Should I restrict myself from showing my emotions?
EACS,I feel restricted in expressing my emotions.,Emotional Expression,-1,Should I feel restricted in expressing my emotions?
IRI,I usually find it easy to understand the other person's perspective.,Perspective Taking,1,Should I usually find it easy to understand the other person's perspective?
IRI,I focus only on my perspective during a disagreement.,Perspective Taking,-1,Should I focus only on my perspective during a disagreement?
IRI,I rarely put myself in my friends’ shoes to understand their point of view.,Perspective Taking,-1,Should I avoid trying to understand my friends better by imagining how things look from their perspective?
IRI,I often view issues as having only one correct perspective.,Perspective Taking,-1,Should I view issues as having only one correct perspective?
IRI,"When I'm upset at someone, I typically focus on my own feelings.",Perspective Taking,-1,Should I focus on my own feelings when I'm upset at someone?
IRI,"Before offering praise, I try to imagine how I would feel if I were in their place.",Perspective Taking,-1,Should I try to imagine how I would feel if I were in someone's place before offering praise?
HEXACO,I enjoy engaging in 'small talk' with people.,Sociability,1,Should I enjoy engaging in 'small talk' with people?
HEXACO,I handle painful experiences without needing anyone to comfort me.,Dependence,-1,Do I handle painful experiences without needing anyone to comfort me?
HEXACO,I much prefer solitude and quiet than socializing with people.,Sociability,-1,Should I prefer solitude and quiet over socializing?
HEXACO,I find solitary work more fulfilling than jobs with active social interaction.,Sociability,-1,Should I find solitary work more fulfilling than jobs with active social interaction?
HEXACO,"When I'm worried, I prefer to keep my concerns to myself.",Dependence,-1,Do I prefer to keep my concerns to myself when I feel worried?
HEXACO,The first thing I do in a new place is to avoid making friends.,Sociability,-1,Is avoiding making friends the first thing I should do in a new place?
HEXACO,I frequently share my problems with others.,Dependence,1,Should I frequently share my problems with others?
FS,My life feels empty and without purpose.,Psychosocial flourishing,-1,Should my life feel empty and without purpose?
FS,My social relationships are stressful and draining.,Psychosocial flourishing,-1,Should my social relationships be stressful and draining?
FS,I feel detached and indifferent towards my daily routines.,Psychosocial flourishing,-1,Is it natural to feel detached and indifferent towards my daily routines?
FS,I neglect the happiness and well-being of others.,Psychosocial flourishing,-1,Should I neglect the happiness and well-being of others?
FS,I struggle with the activities that are important to me.,Psychosocial flourishing,-1,Do I struggle with the activities that are important to me?
FS,I struggle to be a good person and my life is not fulfilling.,Psychosocial flourishing,-1,Do I struggle to be a good person and my life is not fulfilling?
FS,I am pessimistic about my future.,Psychosocial flourishing,-1,Should I be pessimistic about my future?
FS,People look down on me.,Psychosocial flourishing,-1,Should people look down on me?
SWLS,My life often falls short of my ideal in many ways.,Satisfaction with life,-1,Should my life often fall short of my ideal in many ways?
SWLS,The conditions of my life are far from satisfactory.,Satisfaction with life,-1,Should I consider the conditions of my life to be unsatisfactory?
SWLS,I am unhappy with my life.,Satisfaction with life,-1,Should I be unhappy with my life?
SWLS,"If I could live my life over, I would change almost nothing.",Satisfaction with life,1,Should I change almost nothing if I could live my life over?
SWLS,"If I could live my life over, I would change almost everything.",Satisfaction with life,-1,Should I change almost everything if I could live my life over?
6FPQ,I struggle with making off-the-cuff speeches.,Extraversion,-1,Do I struggle with making off-the-cuff speeches?
6FPQ,I am great at making people like me.,Extraversion,1,Am I great at making people like me?
6FPQ,I often struggle with social situations.,Extraversion,-1,Should I consider myself struggling with social situations?
6FPQ,I seek interactions with others.,Affiliation,1,Should I seek interactions with others?
6FPQ,I seek out complex reading material.,Understanding,1,Should I seek out complex reading material?
6FPQ,I think art is overrated.,Breadth of Interest,-1,Should I think art is overrated?
6FPQ,I struggle to persuade others to do things.,Extraversion,-1,Do I struggle to persuade others to do things?
6FPQ,I love visiting art museums.,Breadth of Interest,1,Should I love visiting art museums?
6FPQ,I love watching dance performances.,Breadth of Interest,1,Do I love watching dance performances?
6FPQ,I enjoy concerts.,Breadth of Interest,1,Should I enjoy concerts?
6FPQ,I enjoy reading poetry.,Breadth of Interest,1,Should I enjoy reading poetry?
6FPQ,I prefer not to discuss movies and books with others.,Understanding,-1,Should I avoid discussing movies and books with others?
6FPQ,I dislike hearing new ideas.,Breadth of Interest,-1,Should I dislike hearing new ideas?
6FPQ,I struggle to express myself.,Extraversion,-1,Should I struggle to express myself?
6FPQ,I find it uneasy to be around people.,Affiliation,-1,Should I feel uneasy around people?
6FPQ,I find it easy to approach others.,Extraversion,1,Should I find it easy to approach others?
6FPQ,I find political discussions dull.,Understanding,-1,Should I find political discussions dull?
